ｘ,?action=edit,,?preview_id=,Platform,ID,案件名,単価,合計,2019/04/01,2019/04/02,2019/04/03,2019/04/04,2019/04/05,2019/04/06,2019/04/07,2019/04/08,2019/04/09,2019/04/10,2019/04/11,2019/04/12,2019/04/13,2019/04/14,2019/04/15,2019/04/16,2019/04/17,2019/04/18,2019/04/19,2019/04/20,2019/04/21,2019/04/22,2019/04/23,2019/04/24,2019/04/25,2019/04/26,2019/04/27,2019/04/28,2019/04/29,2019/04/30,
売上,台湾SEO,,perfectone,lagoon,8_9,perfectone,"¥4,200",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,ヘラスリム(PF切り替え前),lagoon,33_21&33_25&33_9,ヘラスリム,"¥9,000",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,ヘラスリム(PF切り替え後),link_a,104186,ヘラスリム,"¥11,574",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,ブリリアージュ_新LP,lagoon,74_9,ブリリアージュ,"¥4,000",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,very green smoothie,resultplus,4081_8209,very green smoothie,"¥4,500",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,マンスールセラム,access_trade,1058503,マンスールセラム,"¥4,000",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,重ね発酵ハーブ茶,access_trade,1059513,重ね発酵ハーブ茶,"¥3,900",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,iマイクロパッチ,access_trade,1058504,iマイクロパッチ,"¥5,000",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,すっぽんスリム,access_trade,1046223,すっぽんスリム,"¥5,000",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
売上,台湾SEO,,豐麗EX,access_trade,1060452,豐麗EX,"¥4,600",¥0,,¥0,¥0,¥0,¥0,¥0,¥0,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,
